x,y
5.785138130187988281e+00,-4.464283943176269531e+00
5.728279113769531250e+00,-4.645948886871337891e+00
5.972381591796875000e+00,-4.375445365905761719e+00
8.376467704772949219e+00,-3.842679977416992188e+00
6.330508232116699219e+00,-2.938776493072509766e+00
8.969166755676269531e+00,-4.444481849670410156e+00
6.077554225921630859e+00,-5.177418231964111328e+00
1.175864982604980469e+01,-1.360826611518859863e+00
7.629716396331787109e+00,-2.917294025421142578e+00
5.972447872161865234e+00,-5.430294990539550781e+00
9.259926795959472656e+00,-4.633540153503417969e+00
6.566015720367431641e+00,-4.246796131134033203e+00
9.820997238159179688e+00,-4.242160797119140625e+00
5.855400085449218750e+00,-4.561053752899169922e+00
1.198711204528808594e+01,-1.224183678627014160e+00
8.566917419433593750e+00,-4.189218044281005859e+00
5.908540248870849609e+00,-5.405512809753417969e+00
1.149311733245849609e+01,-1.530043482780456543e+00
1.029298496246337891e+01,-5.439880847930908203e+00
6.074280738830566406e+00,-4.223773002624511719e+00
5.019983768463134766e+00,-1.833173155784606934e+00
1.198304367065429688e+01,-1.935534477233886719e+00
1.172023963928222656e+01,-1.812134861946105957e+00
1.216028976440429688e+01,-1.910903215408325195e+00
4.567344188690185547e+00,-1.821130394935607910e+00
9.403959274291992188e+00,-2.864687681198120117e+00
1.214091491699218750e+01,-1.479753375053405762e+00
1.212480545043945312e+01,-1.273912072181701660e+00
1.185353660583496094e+01,-1.517532467842102051e+00
1.223916816711425781e+01,-1.591582894325256348e+00
8.913039207458496094e+00,-4.272145271301269531e+00
1.202360057830810547e+01,-1.474057674407958984e+00
1.212423706054687500e+01,-1.362343907356262207e+00
1.073492336273193359e+01,-1.038673043251037598e+00
5.658576965332031250e+00,-4.723753929138183594e+00
6.446792125701904297e+00,-1.202522754669189453e+00
6.076278686523437500e+00,-1.331097245216369629e+00
6.288816928863525391e+00,-1.961911678314208984e+00
9.338125228881835938e+00,-3.622441291809082031e+00
1.167274665832519531e+01,-1.510647296905517578e+00
